Truck_ID,Vehicle_No,Vehicle_Type,Supervisor,Mode,Customer_Name,Ownership,Purchase_Date,EMI_Monthly,Insurance_Monthly,Road_Tax_Monthly,Tyre_Cost_per_KM,Maintenance_Cost_per_KM,,,,,,,,,,,,,,,
244,KA51D9726,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
245,KA51D9727,MXL,SRINIVAS,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
246,KA52B2320,SXL,NANDINI,Dedicated,VOLTAS,,,,,,,,,,,,,,,,,,,,,,
247,KA52B2324,SXL,NANDINI,Dedicated,VOLTAS,,,,,,,,,,,,,,,,,,,,,,
248,KA52B2591,SXL,NANDINI,Dedicated,VOLTAS,,,,,,,,,,,,,,,,,,,,,,
249,KA52B2332,SXL,NANDINI,Dedicated,VOLTAS,NEL,,,,,,,,,,,,,,,,,,,,,
250,KA59 4774,SXL,NANDINI,Dedicated,FLYJAC,,,,,,,,,,,,,,,,,,,,,,
251,KA59 4775,SXL,NANDINI,Dedicated,FLYJAC,,,,,,,,,,,,,,,,,,,,,,
252,KA59 4778,SXL,NANDINI,Dedicated,FLYJAC,,,,,,,,,,,,,,,,,,,,,,
253,KA59 4780,SXL,NANDINI,Dedicated,FLYJAC,,,,,,,,,,,,,,,,,,,,,,
